family,file,sha256,fmt,n_vars,n_clauses,n_vars_used,ratio,len_min,len_max,len_mean,len_hist,all_w1,size_kb,staged
ms_crafted/ms_crafted/maxcut/abrame-habet/v140,s2v140c1200-1.cnf,5d51a749c7d15592fcc3e33a80c6bf211dd27aaafbed9e4201b91749055ba322,cnf,140,1200,140,8.571,2,2,2.0,2:1200,True,11.2,data/mse16/ms_crafted/maxcut/abrame-habet/v140/s2v140c1200-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v140,s2v140c1500-3.cnf,ee18349b22497662583cc598ae2d49c33613b77cbac0978e45bf827bc4f1be44,cnf,140,1500,140,10.714,2,2,2.0,2:1500,True,14.0,data/mse16/ms_crafted/maxcut/abrame-habet/v140/s2v140c1500-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v140,s2v140c1900-2.cnf,c77627720bfa51888627e38e729211b040352a18f3a3c06d64f9a43f06a464e6,cnf,140,1900,140,13.571,2,2,2.0,2:1900,True,17.8,data/mse16/ms_crafted/maxcut/abrame-habet/v140/s2v140c1900-2.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v140,s2v140c2300-1.cnf,0c3125fdaea065da50cfd6a85db562f188b32c001da452b2c6015b22baedccdd,cnf,140,2300,140,16.429,2,2,2.0,2:2300,True,21.4,data/mse16/ms_crafted/maxcut/abrame-habet/v140/s2v140c2300-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v140,s2v140c2600-3.cnf,7710d01c0d2b8e75f0c21210cad4838f438a69a9c164df520f4f9d349bc770e0,cnf,140,2600,140,18.571,2,2,2.0,2:2600,True,24.2,data/mse16/ms_crafted/maxcut/abrame-habet/v140/s2v140c2600-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v160,s2v160c1200-1.cnf,83eec341ebe41797f14df6e6a87fdc53910e9896d102c1480153c6c46bf7e859,cnf,160,1200,160,7.5,2,2,2.0,2:1200,True,11.4,data/mse16/ms_crafted/maxcut/abrame-habet/v160/s2v160c1200-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v160,s2v160c1500-3.cnf,918b12d866d1df34c943765e23fba0271a2affb7c2e7d5a603d9ae5e674a89b8,cnf,160,1500,160,9.375,2,2,2.0,2:1500,True,14.3,data/mse16/ms_crafted/maxcut/abrame-habet/v160/s2v160c1500-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v160,s2v160c1900-2.cnf,8254e20efa60dbcbe8b4a8a6c99d24de53606975d8ac007ee1580b4d164b5d45,cnf,160,1900,160,11.875,2,2,2.0,2:1900,True,18.1,data/mse16/ms_crafted/maxcut/abrame-habet/v160/s2v160c1900-2.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v160,s2v160c2300-1.cnf,efea219a0c2cca9795c208787a115af024e01f8c0652c402cae64871947d28e2,cnf,160,2300,160,14.375,2,2,2.0,2:2300,True,21.8,data/mse16/ms_crafted/maxcut/abrame-habet/v160/s2v160c2300-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v160,s2v160c2600-3.cnf,314676b37193c40fec85615f54b566f276df556439499d29c03a887a2bbe8c8e,cnf,160,2600,160,16.25,2,2,2.0,2:2600,True,24.7,data/mse16/ms_crafted/maxcut/abrame-habet/v160/s2v160c2600-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v180,s2v180c1200-1.cnf,0430644e1cfa6f4eac9cbd7235276eb2cc0db9a22f9dfa9935718dd5ef0b3171,cnf,180,1200,180,6.667,2,2,2.0,2:1200,True,11.6,data/mse16/ms_crafted/maxcut/abrame-habet/v180/s2v180c1200-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v180,s2v180c1500-3.cnf,f80a1c9acafe9fd5943a8c04fba4555ce51b60282e15742c598327f266f63b9e,cnf,180,1500,180,8.333,2,2,2.0,2:1500,True,14.5,data/mse16/ms_crafted/maxcut/abrame-habet/v180/s2v180c1500-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v180,s2v180c1900-2.cnf,f08719aa94b6816fa5c83f94a2c7ff57daa36825e005bf112793f0552a4267de,cnf,180,1900,180,10.556,2,2,2.0,2:1900,True,18.4,data/mse16/ms_crafted/maxcut/abrame-habet/v180/s2v180c1900-2.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v180,s2v180c2300-1.cnf,d98b8df801247bde1c2f34f447598f07685a77696549295acb0e61c9b307828a,cnf,180,2300,180,12.778,2,2,2.0,2:2300,True,22.2,data/mse16/ms_crafted/maxcut/abrame-habet/v180/s2v180c2300-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v180,s2v180c2600-3.cnf,641abcfe542cd99c95469f6c2bfa964bd5e1c20893e38e0a19babc06f0072728,cnf,180,2600,180,14.444,2,2,2.0,2:2600,True,25.1,data/mse16/ms_crafted/maxcut/abrame-habet/v180/s2v180c2600-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v200,s2v200c1200-1.cnf,ea6fba8f1e83283add190aef2b8fd4e70e6d36a4c7ca26bba64a24b5b348fa66,cnf,200,1200,200,6.0,2,2,2.0,2:1200,True,11.8,data/mse16/ms_crafted/maxcut/abrame-habet/v200/s2v200c1200-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v200,s2v200c1500-3.cnf,9385a0ec18bd7a67fe8efc8eb0945a3dcee2611fdc358b15b6d6ebbbfcac4e3d,cnf,200,1500,200,7.5,2,2,2.0,2:1500,True,14.7,data/mse16/ms_crafted/maxcut/abrame-habet/v200/s2v200c1500-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v200,s2v200c1900-2.cnf,ec4bdf0dab528f1f380cf3ffb261e202defe0d84e024a5bf79fe3e8caccc1a75,cnf,200,1900,200,9.5,2,2,2.0,2:1900,True,18.6,data/mse16/ms_crafted/maxcut/abrame-habet/v200/s2v200c1900-2.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v200,s2v200c2300-1.cnf,4aa710950e4d545a87c405988bf531329031a68bd64e210d7c0dbdf35dc32791,cnf,200,2300,200,11.5,2,2,2.0,2:2300,True,22.5,data/mse16/ms_crafted/maxcut/abrame-habet/v200/s2v200c2300-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v200,s2v200c2600-3.cnf,f531e871af6c083a9c2277c3b9057e3fff676ed05c2c1743ce49e57950015cbc,cnf,200,2600,200,13.0,2,2,2.0,2:2600,True,25.3,data/mse16/ms_crafted/maxcut/abrame-habet/v200/s2v200c2600-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v220,s2v220c1200-1.cnf,38bc6a272b055d726f6d99ada10aa2883465129664382190d684b735e2f7885b,cnf,220,1200,220,5.455,2,2,2.0,2:1200,True,11.9,data/mse16/ms_crafted/maxcut/abrame-habet/v220/s2v220c1200-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v220,s2v220c1500-3.cnf,cecac7271118afc4198ffdc8566da28c60ede438318838236b2a7c573e622344,cnf,220,1500,220,6.818,2,2,2.0,2:1500,True,14.8,data/mse16/ms_crafted/maxcut/abrame-habet/v220/s2v220c1500-3.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v220,s2v220c1900-2.cnf,75ad5f28c147894ae5c3ab7c8f6206738a5120d34a14a555231551b0fd1bb47a,cnf,220,1900,220,8.636,2,2,2.0,2:1900,True,18.7,data/mse16/ms_crafted/maxcut/abrame-habet/v220/s2v220c1900-2.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v220,s2v220c2300-1.cnf,7df5d26cf906dc708db3b66e7c983cda6261f81d00cfa85249df823f09ea030b,cnf,220,2300,220,10.455,2,2,2.0,2:2300,True,22.7,data/mse16/ms_crafted/maxcut/abrame-habet/v220/s2v220c2300-1.cnf
ms_crafted/ms_crafted/maxcut/abrame-habet/v220,s2v220c2600-3.cnf,6a114554ddf31fb07dbfdb5ea01a333c3a29362446904abfd0e85d00f2ebd656,cnf,220,2600,220,11.818,2,2,2.0,2:2600,True,25.6,data/mse16/ms_crafted/maxcut/abrame-habet/v220/s2v220c2600-3.cnf
ms_crafted/ms_crafted/maxcut/dimacs-mod,c-fat500-1.clq.cnf,2fa5a11b58cba7015b4abaae0ce7c949c53df9568b87adfae89091fa19cdeb3d,cnf,42,48,42,1.143,2,2,2.0,2:48,True,0.7,data/mse16/ms_crafted/maxcut/dimacs-mod/c-fat500-1.clq.cnf
ms_crafted/ms_crafted/maxcut/dimacs-mod,san400_0.5_1.clq.cnf,02fb27a740e8fa56c9dd7bc3b71b685595feeaf24ec389b5d3f2445412f1cb00,cnf,40,790,40,19.75,2,2,2.0,2:790,True,6.9,data/mse16/ms_crafted/maxcut/dimacs-mod/san400_0.5_1.clq.cnf
ms_crafted/ms_crafted/maxcut/dimacs-mod,san200_0.7_1.clq.cnf,3a5ce01d0f236c4bca5f53fa29f5d3923ab443218fdabf930326561207f9673c,cnf,40,1116,40,27.9,2,2,2.0,2:1116,True,9.7,data/mse16/ms_crafted/maxcut/dimacs-mod/san200_0.7_1.clq.cnf
ms_crafted/ms_crafted/maxcut/dimacs-mod,sanr200_0.9.clq.cnf,e8545400e908da3e69367fe9f34675d6b48d9dce6fbf09e9acf49024977541bd,cnf,40,1354,40,33.85,2,2,2.0,2:1354,True,11.8,data/mse16/ms_crafted/maxcut/dimacs-mod/sanr200_0.9.clq.cnf
ms_crafted/ms_crafted/maxcut/dimacs-mod,johnson8-4-4.clq.cnf,e14cff0da40a4b97ca905559c8cf1ccc73afca8f940bb4f26be5d9e989f10237,cnf,70,3710,70,53.0,2,2,2.0,2:3710,True,32.0,data/mse16/ms_crafted/maxcut/dimacs-mod/johnson8-4-4.clq.cnf
ms_crafted/ms_crafted/maxcut/spinglass,t3pm3-5555.spn.cnf,890f1b435294212f8a5069f24d53d04e59a4ca76505cbb54dab0b230d45a586e,cnf,27,162,27,6.0,1,2,1.981,1:3;2:159,True,1.3,data/mse16/ms_crafted/maxcut/spinglass/t3pm3-5555.spn.cnf
ms_crafted/ms_crafted/maxcut/spinglass,t4pm3-6666.spn.cnf,778948983e2e178ce7e2f6fe91e18f4ec469b12134a97121ea889338a86c2f0b,cnf,64,384,64,6.0,1,2,1.992,1:3;2:381,True,3.3,data/mse16/ms_crafted/maxcut/spinglass/t4pm3-6666.spn.cnf
ms_crafted/ms_crafted/maxcut/spinglass,t5pm3-7777.spn.cnf,c9857f285a166fd39ccb2a45ff0252c52ca7d318e66181b8e16574f1da80ee5d,cnf,125,750,125,6.0,1,2,1.996,1:3;2:747,True,6.8,data/mse16/ms_crafted/maxcut/spinglass/t5pm3-7777.spn.cnf
ms_crafted/ms_crafted/maxcut/spinglass,t6pm3-8888.spn.cnf,94d2be49ab6d5f5b240fcc8b1afd2db58ed81a1fa56db3e09dadd835f8e6f23f,cnf,216,1296,216,6.0,1,2,1.998,1:3;2:1293,True,12.7,data/mse16/ms_crafted/maxcut/spinglass/t6pm3-8888.spn.cnf
ms_crafted/ms_crafted/maxcut/spinglass,t7pm3-9999.spn.cnf,c081192f20a4d176deeb44f40c5eab7d1fd1dbb0416813c1896f1acd071c178d,cnf,343,2058,343,6.0,1,2,1.999,1:3;2:2055,True,20.9,data/mse16/ms_crafted/maxcut/spinglass/t7pm3-9999.spn.cnf
ms_crafted/ms_crafted/set-covering/scpclr,scpclr10_maxsat.cnf,c40cba1d8a4d8b5f3fa46005bdfa96421d522cddb7d1dc9933cc576c49ae0c07,cnf,210,721,210,3.433,1,126,18.641,1:210;10:126;16:210;35:120;70:45;126:10,True,48.1,data/mse16/ms_crafted/set-covering/scpclr/scpclr10_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpclr,scpclr11_maxsat.cnf,614e238ea414a1d66f70aab28632dace6939cc75a2f227b919eed99b104def57,cnf,330,1353,330,4.1,1,210,31.22,1:330;20:462;36:330;70:165;126:55;210:11,True,155.8,data/mse16/ms_crafted/set-covering/scpclr/scpclr11_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpclr,scpclr12_maxsat.cnf,d8e3b3536d00243915469759521942f4d586a36877e4e681007fbed5be28e4bc,cnf,495,2542,495,5.135,1,330,49.851,1:495;30:462;40:792;71:495;126:220;210:66;330:12,True,476.0,data/mse16/ms_crafted/set-covering/scpclr/scpclr12_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpclr,scpclr13_maxsat.cnf,2b656dd9166e3d21d7720e34de709a5ac901627d07ea7b24afcfaa87159544ab,cnf,715,4810,715,6.727,1,495,76.108,1:715;50:1716;75:1287;127:715;210:286;330:78;495:13,True,1390.8,data/mse16/ms_crafted/set-covering/scpclr/scpclr13_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpcyc,scpcyc06_maxsat.cnf,16a9cc334bcccba7830cbd57f7557b01eccbea6a182fc6c5c1d54d765023b64e,cnf,192,432,192,2.25,1,4,2.667,1:192;4:240,True,5.3,data/mse16/ms_crafted/set-covering/scpcyc/scpcyc06_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpcyc,scpcyc07_maxsat.cnf,0c482467a24954752a50acf8477e105a96791ce97f1a4c8d57cd0a17e36ff55e,cnf,448,1120,448,2.5,1,4,2.8,1:448;4:672,True,15.3,data/mse16/ms_crafted/set-covering/scpcyc/scpcyc07_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpcyc,scpcyc08_maxsat.cnf,07f6899699c2d0be680f1806b547e7cd9e75a52418fa6fd4c9cd1db861fde0d3,cnf,1024,2816,1024,2.75,1,4,2.909,1:1024;4:1792,True,40.6,data/mse16/ms_crafted/set-covering/scpcyc/scpcyc08_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpcyc,scpcyc10_maxsat.cnf,86b2804a879ec94c27259037ac9517bc1916e6d3293375aacf4f589e44440bed,cnf,5120,16640,5120,3.25,1,4,3.077,1:5120;4:11520,True,293.0,data/mse16/ms_crafted/set-covering/scpcyc/scpcyc10_maxsat.cnf
ms_crafted/ms_crafted/set-covering/scpcyc,scpcyc11_maxsat.cnf,328284ff6dfa7eb9750c7b4aba1685f9f40ea03bd33bbc8014f22ba724ad282b,cnf,11264,39424,11264,3.5,1,4,3.143,1:11264;4:28160,True,733.2,data/mse16/ms_crafted/set-covering/scpcyc/scpcyc11_maxsat.cnf
ms_random/ms_random/abrame-habet/max2sat/120v,s2v120c1200-1.cnf,c850e2979d9b6cf2f1c6ff60ac9fd83b78de08ae38f2d88fa256dca5b8531914,cnf,120,1200,120,10.0,2,2,2.0,2:1200,True,10.8,data/mse16/ms_random/abrame-habet/max2sat/120v/s2v120c1200-1.cnf
ms_random/ms_random/abrame-habet/max2sat/120v,s2v120c1500-3.cnf,2d739286ef6043672b728b74e4ac944c5682a446260fc4adc2369e516afe6694,cnf,120,1500,120,12.5,2,2,2.0,2:1500,True,13.5,data/mse16/ms_random/abrame-habet/max2sat/120v/s2v120c1500-3.cnf
ms_random/ms_random/abrame-habet/max2sat/120v,s2v120c1900-2.cnf,efa2debe9433721c9c3c9c4bd9b899e41c708e8bdbc7b50a1a51728138487a9f,cnf,120,1900,120,15.833,2,2,2.0,2:1900,True,17.1,data/mse16/ms_random/abrame-habet/max2sat/120v/s2v120c1900-2.cnf
ms_random/ms_random/abrame-habet/max2sat/120v,s2v120c2300-1.cnf,09bfd9a34e075bad38c0ecbda4ba7f09cb1ef4b8765c5b551dee364af7453c22,cnf,120,2300,120,19.167,2,2,2.0,2:2300,True,20.7,data/mse16/ms_random/abrame-habet/max2sat/120v/s2v120c2300-1.cnf
ms_random/ms_random/abrame-habet/max2sat/120v,s2v120c2600-3.cnf,d2c9e3daf8482e7b483df3d700ff0774863c75fc9b4d97a5c7bfa62acb41e684,cnf,120,2600,120,21.667,2,2,2.0,2:2600,True,23.4,data/mse16/ms_random/abrame-habet/max2sat/120v/s2v120c2600-3.cnf
ms_random/ms_random/abrame-habet/max2sat/140v,s2v140c1200-1.cnf,b261a9961c3819153b72fbe8033ce68c4d2f84285f1c9abe0e913cbb1da769c8,cnf,140,1200,140,8.571,2,2,2.0,2:1200,True,11.1,data/mse16/ms_random/abrame-habet/max2sat/140v/s2v140c1200-1.cnf
ms_random/ms_random/abrame-habet/max2sat/140v,s2v140c1500-3.cnf,d722d685a32b9f78b5981ff8b022c82e3394f5066431c6a2c258732236b62f26,cnf,140,1500,140,10.714,2,2,2.0,2:1500,True,13.9,data/mse16/ms_random/abrame-habet/max2sat/140v/s2v140c1500-3.cnf
ms_random/ms_random/abrame-habet/max2sat/140v,s2v140c1900-2.cnf,f925b6c7ae448f0448393f6aecf8af9d3ffba68479f2ed4b885a866a8e9f0106,cnf,140,1900,140,13.571,2,2,2.0,2:1900,True,17.6,data/mse16/ms_random/abrame-habet/max2sat/140v/s2v140c1900-2.cnf
ms_random/ms_random/abrame-habet/max2sat/140v,s2v140c2300-1.cnf,77e1d6770551fd431cfa0959414d14f122af02d2946cc7423bb52aa5af7adcc1,cnf,140,2300,140,16.429,2,2,2.0,2:2300,True,21.3,data/mse16/ms_random/abrame-habet/max2sat/140v/s2v140c2300-1.cnf
ms_random/ms_random/abrame-habet/max2sat/140v,s2v140c2600-3.cnf,e8adc869261d729f36682371402f555078e453ebae80bccc23ccacc45782d91d,cnf,140,2600,140,18.571,2,2,2.0,2:2600,True,24.0,data/mse16/ms_random/abrame-habet/max2sat/140v/s2v140c2600-3.cnf
ms_random/ms_random/abrame-habet/max2sat/160v,s2v160c1200-1.cnf,a783ac7ebe2d8109f2f6d7690a8141441b0a56b3ac9891e0ae1b15c4541f1839,cnf,160,1200,160,7.5,2,2,2.0,2:1200,True,11.4,data/mse16/ms_random/abrame-habet/max2sat/160v/s2v160c1200-1.cnf
ms_random/ms_random/abrame-habet/max2sat/160v,s2v160c1500-3.cnf,cc2f68369fd8dda93528e750af9f61d4f9380b8fbd74b1654d7f5cc8406d4746,cnf,160,1500,160,9.375,2,2,2.0,2:1500,True,14.2,data/mse16/ms_random/abrame-habet/max2sat/160v/s2v160c1500-3.cnf
ms_random/ms_random/abrame-habet/max2sat/160v,s2v160c1900-2.cnf,641b1b3b3386ba0c67883537e8f93a5377676445d2ec9c5f2d7cb3e253319985,cnf,160,1900,160,11.875,2,2,2.0,2:1900,True,18.0,data/mse16/ms_random/abrame-habet/max2sat/160v/s2v160c1900-2.cnf
ms_random/ms_random/abrame-habet/max2sat/160v,s2v160c2300-1.cnf,5936e3ac7de345eb0d2453bd17a169850b6daa67635400fd88fdf8496778bce2,cnf,160,2300,160,14.375,2,2,2.0,2:2300,True,21.7,data/mse16/ms_random/abrame-habet/max2sat/160v/s2v160c2300-1.cnf
ms_random/ms_random/abrame-habet/max2sat/160v,s2v160c2600-3.cnf,886c2284b57bf91a6b7ad8db0af01f341a935849ea9e8f4b7804655d3e834c55,cnf,160,2600,160,16.25,2,2,2.0,2:2600,True,24.6,data/mse16/ms_random/abrame-habet/max2sat/160v/s2v160c2600-3.cnf
ms_random/ms_random/abrame-habet/max2sat/180v,s2v180c1200-1.cnf,2c75914b6b2760953e522e48b69af51495e67d964cbfac454a6bac93165a6e5c,cnf,180,1200,180,6.667,2,2,2.0,2:1200,True,11.5,data/mse16/ms_random/abrame-habet/max2sat/180v/s2v180c1200-1.cnf
ms_random/ms_random/abrame-habet/max2sat/180v,s2v180c1400-4.cnf,751847417cbc963fadc9f4c11fd84ab7ae84c17fc796c41dca4ae2946e71cb21,cnf,180,1400,180,7.778,2,2,2.0,2:1400,True,13.5,data/mse16/ms_random/abrame-habet/max2sat/180v/s2v180c1400-4.cnf
ms_random/ms_random/abrame-habet/max2sat/180v,s2v180c1700-3.cnf,abca2ef47d3bd67c484bb36e37a9bf8aca4b4842f6dfa235cf38e1c43ea2cdc4,cnf,180,1700,180,9.444,2,2,2.0,2:1700,True,16.4,data/mse16/ms_random/abrame-habet/max2sat/180v/s2v180c1700-3.cnf
ms_random/ms_random/abrame-habet/max2sat/180v,s2v180c2000-1.cnf,da6c9df33d30fb2b122b02d3ba5bcd0bbddd2d2308c08c8f30ff7f8c077e4793,cnf,180,2000,180,11.111,2,2,2.0,2:2000,True,19.2,data/mse16/ms_random/abrame-habet/max2sat/180v/s2v180c2000-1.cnf
ms_random/ms_random/abrame-habet/max2sat/180v,s2v180c2200-4.cnf,b8640ef0e09870d2b300085d8470a5f912cc6056ccef9de74e654caedf9f8c40,cnf,180,2200,180,12.222,2,2,2.0,2:2200,True,21.1,data/mse16/ms_random/abrame-habet/max2sat/180v/s2v180c2200-4.cnf
ms_random/ms_random/abrame-habet/max2sat/200v,s2v200c1200-1.cnf,0e6ff22a5bf60fdbbfdb7dc0184ee61bcbff37cbfd4284c96332ae6f6045bb7e,cnf,200,1200,200,6.0,2,2,2.0,2:1200,True,11.6,data/mse16/ms_random/abrame-habet/max2sat/200v/s2v200c1200-1.cnf
ms_random/ms_random/abrame-habet/max2sat/200v,s2v200c1300-6.cnf,85f5ce71705a51da404f112570b031f3db3bef386e5d7d37908828cb0859cd55,cnf,200,1300,200,6.5,2,2,2.0,2:1300,True,12.7,data/mse16/ms_random/abrame-habet/max2sat/200v/s2v200c1300-6.cnf
ms_random/ms_random/abrame-habet/max2sat/200v,s2v200c1500-4.cnf,e821d5ac18cc50e46c5caaee3c325ab6b03f55282c8f569f39dfff723b83eda6,cnf,200,1500,200,7.5,2,2,2.0,2:1500,True,14.6,data/mse16/ms_random/abrame-habet/max2sat/200v/s2v200c1500-4.cnf
ms_random/ms_random/abrame-habet/max2sat/200v,s2v200c1700-2.cnf,7bab8f80a57cf9e3b88bc15b940a4ac624a603fea9ed92740ad95b2cbb218ecf,cnf,200,1700,200,8.5,2,2,2.0,2:1700,True,16.5,data/mse16/ms_random/abrame-habet/max2sat/200v/s2v200c1700-2.cnf
ms_random/ms_random/abrame-habet/max2sat/200v,s2v200c1800-7.cnf,ed5ba8b1734a15c41eda0b7302982db5d00e945ac3624862c7ad754ff56b5356,cnf,200,1800,200,9.0,2,2,2.0,2:1800,True,17.5,data/mse16/ms_random/abrame-habet/max2sat/200v/s2v200c1800-7.cnf
ms_random/ms_random/abrame-habet/max3sat/110v,s3v110c700-1.cnf,c0fe9dc7ed38c352743b2c31a37ae5d23326edb62cfc2b4ed73661fbcb7c5eb6,cnf,110,700,110,6.364,3,3,3.0,3:700,True,8.6,data/mse16/ms_random/abrame-habet/max3sat/110v/s3v110c700-1.cnf
ms_random/ms_random/abrame-habet/max3sat/110v,s3v110c800-2.cnf,0df5f406e3eff84e6e64eb5c9a4da48a05320b61565c797057fd8941a5e902b6,cnf,110,800,110,7.273,3,3,3.0,3:800,True,9.9,data/mse16/ms_random/abrame-habet/max3sat/110v/s3v110c800-2.cnf
ms_random/ms_random/abrame-habet/max3sat/110v,s3v110c900-4.cnf,d60079e69b27bea9edb3a97dad1c5aa7a9d7d9e4ecb52cbb34b2efa9dda69f83,cnf,110,900,110,8.182,3,3,3.0,3:900,True,11.1,data/mse16/ms_random/abrame-habet/max3sat/110v/s3v110c900-4.cnf
ms_random/ms_random/abrame-habet/max3sat/110v,s3v110c1000-7.cnf,0d46204719fb4c9e6055a99ddfbe252093b35932a2265d81bc99b7f1032578c2,cnf,110,1000,110,9.091,3,3,3.0,3:1000,True,12.3,data/mse16/ms_random/abrame-habet/max3sat/110v/s3v110c1000-7.cnf
ms_random/ms_random/abrame-habet/max3sat/110v,s3v110c1100-9.cnf,21e05438b9babd0c34175d6a0b3f95f0a7a617383fee66f86a1eccf5d96fe6ce,cnf,110,1100,110,10.0,3,3,3.0,3:1100,True,13.6,data/mse16/ms_random/abrame-habet/max3sat/110v/s3v110c1100-9.cnf
ms_random/ms_random/abrame-habet/max3sat/70v,s3v70c700-1.cnf,cda77cd4cf7ab0498d76653cf5e43558dc280eead960f110b395fae0abf45fdd,cnf,70,700,70,10.0,3,3,3.0,3:700,True,8.3,data/mse16/ms_random/abrame-habet/max3sat/70v/s3v70c700-1.cnf
