instance,best_cost,weighted,unweighted,anytime,source,source_csv
drmx-cryptogen_wt-threshold128_8.wcnf,800,True,False,True,mse2024,best_costs__1_.csv
frb_wt-frb40-19-3.wcnf,720,True,False,True,mse2024,best_costs__1_.csv
frb_wt-frb40-19-4.wcnf,720,True,False,True,mse2024,best_costs__1_.csv
judgment-aggregation-ja-kemeny-preflib-00049-00000300.wcnf,776,True,False,True,mse2024,best_costs__1_.csv
judgment-aggregation-ja-kemeny-preflib-00049-00000334.wcnf,542,True,False,True,mse2024,best_costs__1_.csv
judgment-aggregation-ja-kemeny-preflib-00049-00000353.wcnf,554,True,False,True,mse2024,best_costs__1_.csv
judgment-aggregation-ja-kemeny-preflib-00049-00000377.wcnf,647,True,False,True,mse2024,best_costs__1_.csv
judgment-aggregation-ja-kemeny-preflib-00049-00000468.wcnf,548,True,False,True,mse2024,best_costs__1_.csv
judgment-aggregation-ja-kemeny-preflib-00049-00000614.wcnf,792,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-1-18.wcnf,961,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-1-19.wcnf,-1,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-10-17.wcnf,377,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-10-18.wcnf,378,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-3-18.wcnf,-1,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-4-17.wcnf,803,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-5-19.wcnf,805,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-6-19.wcnf,805,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-7-18.wcnf,420,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-7-19.wcnf,424,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-8-17.wcnf,395,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-9-17.wcnf,394,True,False,True,mse2024,best_costs__1_.csv
lisbon-wedding_wt-lisbon-wedding-9-18.wcnf,395,True,False,True,mse2024,best_costs__1_.csv
metro_wt-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf,138,True,False,True,mse2024,best_costs__1_.csv
mpe_wt-random-net-20-5_network-3.net.wcnf,19569,True,False,True,mse2024,best_costs__1_.csv
mpe_wt-random-net-30-5_network-4.net.wcnf,28151,True,False,True,mse2024,best_costs__1_.csv
mpe_wt-random-net-60-3_network-7.net.wcnf,51691,True,False,True,mse2024,best_costs__1_.csv
preference_planning_wt-WCNF_pathways_p16.wcnf,257,True,False,True,mse2024,best_costs__1_.csv
pseudoBoolean_wt-normalized-mps-v2-20-10-mod010.opb.msat.wcnf,-1,True,False,True,mse2024,best_costs__1_.csv
quantum-circuit-qgan_6_15_ibmq-casablanca_7.wcnf,24,True,False,True,mse2024,best_costs__1_.csv
ramsey_wt-ram_k3_n11.ra1.wcnf,318,True,False,True,mse2024,best_costs__1_.csv
ramsey_wt-ram_k3_n12.ra1.wcnf,524,True,False,True,mse2024,best_costs__1_.csv
ramsey_wt-ram_k3_n17.ra1.wcnf,10372,True,False,True,mse2024,best_costs__1_.csv
ramsey_wt-ram_k3_n18.ra1.wcnf,15621,True,False,True,mse2024,best_costs__1_.csv
setcover_wt-rail507.wcnf,174,True,False,True,mse2024,best_costs__1_.csv
setcover_wt-rail516.wcnf,182,True,False,True,mse2024,best_costs__1_.csv
setcover_wt-rail582.wcnf,211,True,False,True,mse2024,best_costs__1_.csv
spot5_wt-1405.wcsp.dir.wcnf,459415,True,False,True,mse2024,best_costs__1_.csv
spot5_wt-1405.wcsp.log.wcnf,459415,True,False,True,mse2024,best_costs__1_.csv
spot5_wt-1407.wcsp.log.wcnf,459570,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_10_ms_0_25_0_erm.wcnf,250,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_11_ms_0_25_0_erm.wcnf,224,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_6_ms_0_25_0_erm.wcnf,336,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_8_ms_0_25_0_erm.wcnf,318,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_9_ms_0_25_0_erm.wcnf,281,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_10_ms_0_25_0_erm.wcnf,182,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_11_ms_0_25_0_erm.wcnf,126,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_5_ms_0_25_0_erm.wcnf,311,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_8_ms_0_25_0_erm.wcnf,244,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_synthetic_dag_run1_16_size_4_ms_0_25_0_erm.wcnf,147,True,False,True,mse2024,best_costs__1_.csv
synplicate_new-synplicate_synthetic_dag_run1_17_size_5_ms_0_25_0_erm.wcnf,66,True,False,True,mse2024,best_costs__1_.csv
tcp_wt-tcp_students_112_it_13.wcnf,2958,True,False,True,mse2024,best_costs__1_.csv
tcp_wt-tcp_students_112_it_5.wcnf,3366,True,False,True,mse2024,best_costs__1_.csv
tcp_wt-tcp_students_91_it_13.wcnf,2730,True,False,True,mse2024,best_costs__1_.csv
tcp_wt-tcp_students_98_it_11.wcnf,2694,True,False,True,mse2024,best_costs__1_.csv
